Time,Count,Accel X (g),Accel Y (g),Accel Z (g),Gyro X (dps),Gyro Y (dps),Gyro Z (dps)
1.167999983,156,0.0036,-0.003,4.90320015,0,-0.061000001,0
1.175999999,157,0.0036,-0.003,4.90320015,0,-0.061000001,0
1.179999948,158,0.0036,-0.003,4.90320015,0,-0.061000001,0
1.192000031,159,-0.0018,-0.0066,4.90320015,0,-0.061000001,0
1.19599998,160,-0.0018,-0.0066,4.90320015,0,-0.061000001,0
1.20599997,161,-0.0018,-0.0066,4.90320015,0,-0.061000001,0
1.215000033,162,-0.0006,-0.0084,4.904399872,-0.061000001,-0.061000001,0
1.218999982,163,-0.0006,-0.0084,4.904399872,-0.061000001,-0.061000001,0
1.225999951,164,-0.0006,-0.0084,4.904399872,-0.061000001,-0.061000001,0
1.230000019,165,-0.0006,-0.0084,4.904399872,-0.061000001,-0.061000001,0
1.251999974,166,0,-0.0036,4.912199974,-0.061000001,-0.061000001,0
1.25999999,167,0,-0.006,4.908599854,0,-0.061000001,0
1.264000058,168,0,-0.006,4.908599854,0,-0.061000001,0
1.269999981,169,0,-0.006,4.908599854,0,-0.061000001,0
1.274000049,170,0,-0.006,4.908599854,0,-0.061000001,0
1.286000013,171,0,-0.006,4.908599854,0,-0.061000001,0
1.29400003,172,-0.003,-0.0018,4.899000168,0,-0.061000001,-0.061000001
1.297999978,173,-0.003,-0.0018,4.899000168,0,-0.061000001,-0.061000001
1.305999994,174,-0.003,-0.0018,4.899000168,0,-0.061000001,-0.061000001
1.315000057,175,-0.0048,-0.003,4.901400089,0,-0.061000001,0
1.319000006,176,-0.0048,-0.003,4.901400089,0,-0.061000001,0
1.325999975,177,-0.0048,-0.003,4.901400089,0,-0.061000001,0
1.330000043,178,-0.0048,-0.003,4.901400089,0,-0.061000001,0
1.351999998,179,-0.0036,-0.0012,4.903800011,-0.061000001,-0.061000001,0
1.360000014,180,0.0006,0,4.911600113,-0.061000001,-0.061000001,0
1.363000035,181,0.0006,0,4.911600113,-0.061000001,-0.061000001,0
1.370000005,182,0.0006,0,4.911600113,-0.061000001,-0.061000001,0
1.39199996,183,0.0018,-0.0012,4.911600113,0,-0.061000001,0
1.396000028,184,0.0018,-0.0012,4.911600113,0,-0.061000001,0
1.411999941,185,-0.0042,-0.0024,4.904399872,0,-0.061000001,0
1.416000009,186,-0.0042,-0.0024,4.904399872,0,-0.061000001,0
1.425999999,187,-0.0042,-0.0024,4.904399872,0,-0.061000001,0
1.429999948,188,-0.0042,-0.0024,4.904399872,0,-0.061000001,0
1.43900001,189,-0.0078,-0.0048,4.907999992,-0.061000001,-0.061000001,0
1.442999959,190,-0.0078,-0.0048,4.907999992,-0.061000001,-0.061000001,0
1.447000027,191,-0.0078,-0.0048,4.907999992,-0.061000001,-0.061000001,0
